date,product_id,inventory_level,demand,actual_sales,stockout_flag,order_quantity,reorder_point
2025-03-28,PRD_008,123,9,9,0,53,231.9
2025-03-29,PRD_008,166,10,10,0,53,231.9
2025-03-30,PRD_008,209,10,10,0,53,231.9
2025-03-31,PRD_008,253,9,9,0,53,231.9
2025-04-01,PRD_008,249,4,4,0,0,231.9
2025-04-02,PRD_008,241,8,8,0,0,231.9
2025-04-03,PRD_008,235,6,6,0,0,231.9
2025-04-04,PRD_008,284,4,4,0,53,231.9
2025-04-05,PRD_008,278,6,6,0,0,231.9
2025-04-06,PRD_008,269,9,9,0,0,231.9
2025-04-07,PRD_008,264,5,5,0,0,231.9
2025-04-08,PRD_008,262,2,2,0,0,231.9
2025-04-09,PRD_008,252,10,10,0,0,231.9
2025-04-10,PRD_008,247,5,5,0,0,231.9
2025-04-11,PRD_008,240,7,7,0,0,231.9
2025-04-12,PRD_008,280,13,13,0,53,231.9
2025-04-13,PRD_008,269,11,11,0,0,231.9
2025-04-14,PRD_008,264,5,5,0,0,231.9
2025-04-15,PRD_008,253,11,11,0,0,231.9
2025-04-16,PRD_008,248,5,5,0,0,231.9
2025-04-17,PRD_008,242,6,6,0,0,231.9
2025-04-18,PRD_008,237,5,5,0,0,231.9
2025-04-19,PRD_008,280,10,10,0,53,231.9
2025-04-20,PRD_008,275,5,5,0,0,231.9
2025-04-21,PRD_008,267,8,8,0,0,231.9
2025-04-22,PRD_008,258,9,9,0,0,231.9
2025-04-23,PRD_008,248,10,10,0,0,231.9
2025-04-24,PRD_008,242,6,6,0,0,231.9
2025-04-25,PRD_008,239,3,3,0,0,231.9
2025-04-26,PRD_008,283,9,9,0,53,231.9
2025-04-27,PRD_008,272,11,11,0,0,231.9
2025-04-28,PRD_008,262,10,10,0,0,231.9
2025-04-29,PRD_008,261,1,1,0,0,231.9
2025-04-30,PRD_008,251,10,10,0,0,231.9
2025-05-01,PRD_008,241,10,10,0,0,231.9
2025-05-02,PRD_008,281,13,13,0,53,231.9
2025-05-03,PRD_008,275,6,6,0,0,231.9
2025-05-04,PRD_008,264,11,11,0,0,231.9
2025-05-05,PRD_008,255,9,9,0,0,231.9
2025-05-06,PRD_008,249,6,6,0,0,231.9
2025-05-07,PRD_008,240,9,9,0,0,231.9
2025-05-08,PRD_008,233,7,7,0,0,231.9
2025-05-09,PRD_008,281,5,5,0,53,231.9
2025-05-10,PRD_008,274,7,7,0,0,231.9
2025-05-11,PRD_008,266,8,8,0,0,231.9
2025-05-12,PRD_008,257,9,9,0,0,231.9
2025-05-13,PRD_008,252,5,5,0,0,231.9
2025-05-14,PRD_008,244,8,8,0,0,231.9
2025-05-15,PRD_008,236,8,8,0,0,231.9
2025-05-16,PRD_008,280,9,9,0,53,231.9
2025-05-17,PRD_008,269,11,11,0,0,231.9
2025-05-18,PRD_008,258,11,11,0,0,231.9
2025-05-19,PRD_008,250,8,8,0,0,231.9
2025-05-20,PRD_008,240,10,10,0,0,231.9
2025-05-21,PRD_008,282,11,11,0,53,231.9
2025-05-22,PRD_008,274,8,8,0,0,231.9
2025-05-23,PRD_008,265,9,9,0,0,231.9
2025-05-24,PRD_008,260,5,5,0,0,231.9
2025-05-25,PRD_008,249,11,11,0,0,231.9
2025-05-26,PRD_008,240,9,9,0,0,231.9
2025-05-27,PRD_008,284,9,9,0,53,231.9
2025-05-28,PRD_008,276,8,8,0,0,231.9
2025-05-29,PRD_008,275,1,1,0,0,231.9
2025-05-30,PRD_008,273,2,2,0,0,231.9
2025-05-31,PRD_008,258,15,15,0,0,231.9
2025-06-01,PRD_008,252,6,6,0,0,231.9
2025-06-02,PRD_008,247,5,5,0,0,231.9
2025-06-03,PRD_008,239,8,8,0,0,231.9
2025-06-04,PRD_008,279,13,13,0,53,231.9
2025-06-05,PRD_008,276,3,3,0,0,231.9
2025-06-06,PRD_008,272,4,4,0,0,231.9
2025-06-07,PRD_008,270,2,2,0,0,231.9
2025-06-08,PRD_008,264,6,6,0,0,231.9
2025-06-09,PRD_008,261,3,3,0,0,231.9
2025-06-10,PRD_008,255,6,6,0,0,231.9
2025-06-11,PRD_008,243,12,12,0,0,231.9
2025-06-12,PRD_008,238,5,5,0,0,231.9
2025-06-13,PRD_008,283,8,8,0,53,231.9
2025-06-14,PRD_008,274,9,9,0,0,231.9
2025-06-15,PRD_008,266,8,8,0,0,231.9
2025-06-16,PRD_008,261,5,5,0,0,231.9
2025-06-17,PRD_008,254,7,7,0,0,231.9
2025-06-18,PRD_008,242,12,12,0,0,231.9
2025-06-19,PRD_008,234,8,8,0,0,231.9
2025-06-20,PRD_008,282,5,5,0,53,231.9
2025-06-21,PRD_008,276,6,6,0,0,231.9
2025-06-22,PRD_008,274,2,2,0,0,231.9
2025-06-23,PRD_008,271,3,3,0,0,231.9
2025-06-24,PRD_008,262,9,9,0,0,231.9
2025-06-25,PRD_008,254,8,8,0,0,231.9
2025-06-26,PRD_008,246,8,8,0,0,231.9
2025-06-27,PRD_008,237,9,9,0,0,231.9
2025-06-28,PRD_008,284,6,6,0,53,231.9
2025-06-29,PRD_008,272,12,12,0,0,231.9
2025-06-30,PRD_008,268,4,4,0,0,231.9
2025-07-01,PRD_008,261,7,7,0,0,231.9
2025-07-02,PRD_008,259,2,2,0,0,231.9
2025-07-03,PRD_008,252,7,7,0,0,231.9
2025-07-04,PRD_008,238,14,14,0,0,231.9
2025-07-05,PRD_008,235,3,3,0,0,231.9
2025-07-06,PRD_008,281,7,7,0,53,231.9
2025-07-07,PRD_008,274,7,7,0,0,231.9
2025-07-08,PRD_008,260,14,14,0,0,231.9
2025-07-09,PRD_008,254,6,6,0,0,231.9
2025-07-10,PRD_008,244,10,10,0,0,231.9
2025-07-11,PRD_008,240,4,4,0,0,231.9
2025-07-12,PRD_008,235,5,5,0,0,231.9
2025-07-13,PRD_008,276,12,12,0,53,231.9
2025-07-14,PRD_008,265,11,11,0,0,231.9
2025-07-15,PRD_008,257,8,8,0,0,231.9
2025-07-16,PRD_008,251,6,6,0,0,231.9
2025-07-17,PRD_008,246,5,5,0,0,231.9
2025-07-18,PRD_008,238,8,8,0,0,231.9
2025-07-19,PRD_008,281,10,10,0,53,231.9
2025-07-20,PRD_008,275,6,6,0,0,231.9
2025-07-21,PRD_008,271,4,4,0,0,231.9
2025-07-22,PRD_008,265,6,6,0,0,231.9
2025-07-23,PRD_008,260,5,5,0,0,231.9
2025-07-24,PRD_008,256,4,4,0,0,231.9
2025-07-25,PRD_008,249,7,7,0,0,231.9
2025-07-26,PRD_008,244,5,5,0,0,231.9
2025-07-27,PRD_008,232,12,12,0,0,231.9
2025-07-28,PRD_008,278,7,7,0,53,231.9
